timestamp,mesas,positivos,900 - FRENTE RENOVADOR DE LA CONCORDIA

Macias, Sebastian Horacio_porcentaje,96 - LA LIBERTAD AVANZA

Hartfield, Diego Gabriel_porcentaje,653 - POR LA VIDA Y LOS VALORES

Amarilla, Ramón Oscar_porcentaje,184 - AGRARIO Y SOCIAL

Barbaro, Hector Orlando (cacho)_porcentaje,657 - PARTIDO LIBERTARIO

Arjol, Martin Alfredo_porcentaje,902 - FRENTE UNIDOS POR EL FUTURO

Koch, Santiago Nicolas (santi)_porcentaje,656 - TIERRA TECHO Y TRABAJO

Sereno, Martin Anibal_porcentaje,71 - PARTIDO DEL OBRERO

Zeretzki, Anibal Ruben (tato)_porcentaje,644 - PARTIDO DE INTEGRACION Y MILITANCIA

Cavalheiro, Roberto Juan_porcentaje,641 - MOVIMIENTO POSITIVO

Nielsen, Gabriel Conrado_porcentaje,654 - PARTIDO DEMOCRATA

Zart, Nelly_porcentaje,901 - CONFLUENCIA POPULAR POR LA PATRIA

Gurina, Olga Monica_porcentaje
2025-06-09T02:54:15.829Z,,321310,30.3,20.7,14.1,13.3,7,4.9,3,2.7,1.2,1,0.9,0.6
2025-06-09T02:55:48.452Z,60,321310,30.3,20.7,14.1,13.3,7,4.9,3,2.7,1.2,1,0.9,0.6
2025-06-09T03:00:48.401Z,60,321310,30.30323053,20.73355949,14.15455479,13.35719399,7.077277396,4.884068345,3.089850923,2.738788086,1.202888177,1.003081137,0.9330553048,0.6224518378
2025-06-09T03:05:48.709Z,60,321310,30.30323053,20.73355949,14.15455479,13.35719399,7.077277396,4.884068345,3.089850923,2.738788086,1.202888177,1.003081137,0.9330553048,0.6224518378
2025-06-09T03:10:48.377Z,60,321310,30.30323053,20.73355949,14.15455479,13.35719399,7.077277396,4.884068345,3.089850923,2.738788086,1.202888177,1.003081137,0.9330553048,0.6224518378
2025-06-09T03:15:48.399Z,60,321310,30.30323053,20.73355949,14.15455479,13.35719399,7.077277396,4.884068345,3.089850923,2.738788086,1.202888177,1.003081137,0.9330553048,0.6224518378
